time,open,high,low,close,tick_volume,spread,real_volume
1394928000,4.28,4.7,4.17,4.66,247450,1,239021100
1395532800,4.71,5.24,4.61,5.2,272956,1,223014500
1396137600,5.22,5.55,5.14,5.45,276001,1,218129700
1396742400,5.55,6.03,5.45,5.73,255903,1,231591900
1397347200,5.75,5.87,5.35,5.79,171885,1,134893900
1397952000,5.77,5.9,5.53,5.67,163309,1,128075600
1398556800,5.64,6.23,5.58,6.23,168292,1,152554100
1399161600,6.24,6.66,6.12,6.25,268389,1,215684300
1399766400,6.35,6.51,6.28,6.38,139131,1,117483100
1400371200,6.36,6.5,6.04,6.25,202314,1,170666600
1400976000,6.29,6.37,5.9,5.9,128793,1,97477900
1401580800,5.9399999999999995,6.25,5.76,6.25,158390,1,145252600
1402185600,6.21,6.74,6.14,6.71,184666,1,157442600
1402790400,6.72,6.76,6.43,6.62,129757,1,113746700
1403395200,6.63,6.67,6.01,6.08,149798,1,155718800
1404000000,6.14,6.21,5.95,6.19,128103,1,102526700
1404604800,6.15,6.48,6.06,6.46,108233,1,86142900
1405209600,6.53,7.38,6.51,7.26,306342,1,285914900
1405814400,7.22,7.51,7.05,7.24,222791,1,211238100
1406419200,7.27,7.28,6.62,6.72,217842,1,152856600
1407024000,6.77,7.31,6.67,6.83,243413,1,239636900
1407628800,6.85,7.17,6.48,7.09,310064,1,273376700
1408233600,7.26,7.66,7.01,7.4,264715,1,238030200
1408838400,7.5,8.34,7.46,8.26,305236,1,279940200
1409443200,8.47,8.81,7.93,8.06,362451,1,286721000
1410048000,8.28,8.37,7.02,7.12,334029,1,343935300
1410652800,7.16,7.96,7.09,7.39,294002,1,299806000
1411257600,7.23,7.51,6.96,7.41,281391,1,220947700
1411862400,6.72,6.8,5.96,6.49,457039,1,380375900
1412467200,7.6,7.74,7.07,7.07,480256,1,450363000
1413072000,7.55,7.96,6.59,6.74,520663,1,449358000
1413676800,6.6899999999999995,6.72,5.44,5.77,508654,1,438745400
1414281600,4.95,5.4,4.87,5.4,548856,1,517087600
1414886400,5.29,5.34,4.78,5.04,274184,1,255334300
1415491200,5.06,5.12,4.54,4.67,192918,1,176004500
1416096000,4.62,5.06,4.24,5.05,244114,1,219073600
1416700800,5.17,5.4,4.52,4.52,301561,1,284460400
1417305600,4.46,4.53,4.26,4.33,205294,1,196469800
1417910400,4.3,4.3,3.57,3.57,270036,1,265803100
1418515200,3.61,3.66,3.03,3.4699999999999998,343331,1,424618900
1419120000,3.5,3.89,3.43,3.64,122989,1,121674800
1419724800,3.59,3.73,3.31,3.31,90574,1,99204600
1420329600,3.23,3.32,2.84,3.32,386196,1,369209700
1420934400,3.2800000000000002,3.41,3.05,3.33,250271,1,307202600
1421539200,3.31,3.69,3.23,3.54,195721,1,264459900
1422144000,3.46,3.67,2.86,2.89,345645,1,387458500
1422748800,2.99,3.82,2.87,3.23,400368,1,458569500
1423353600,3.11,3.57,3.08,3.5300000000000002,274037,1,321057400
1423958400,3.59,3.66,3.37,3.42,94008,1,113716700
