symbol,open,high,low,close,volume
NASDAQ:META,475.97,476.01,473.78,474.45,36794.0
NASDAQ:META,474.42,474.46,473.41,473.86,20166.0
NASDAQ:META,473.76,474.51,473.73,474.17,14235.0
NASDAQ:META,474.1,474.21,472.78,472.95,27573.0
NASDAQ:META,472.83,473.34,472.6,472.91,24452.0
NASDAQ:META,472.91,472.92,472.12,472.9,27316.0
NASDAQ:META,472.9,474.02,472.72,473.93,32932.0
NASDAQ:META,473.905,474.27,473.45,473.87,23004.0
NASDAQ:META,473.94,474.06,473.66,473.7,14499.0
NASDAQ:META,473.72,473.75,472.785,473.22,29439.0
NASDAQ:META,473.28,473.74,473.07,473.52,23137.0
NASDAQ:META,473.51,473.75,472.93,473.3,30460.0
NASDAQ:META,473.26,473.44,471.99,472.21,36966.0
NASDAQ:META,472.25,473.43,472.05,473.42,61165.0
NASDAQ:META,473.36,473.53,472.76,473.33,116530.0
NASDAQ:META,469.64,476.15,469.01,473.96,220214.0
NASDAQ:META,473.98,474.8,472.5,473.8,71581.0
NASDAQ:META,473.91,473.94,471.41,472.35,67502.0
NASDAQ:META,472.14,473.1,471.73,472.18,46240.0
NASDAQ:META,472.28,473.68,470.8,471.45,50684.0
NASDAQ:META,471.5,472.43,471.49,472.25,38435.0
NASDAQ:META,472.1,473.0,471.63,472.19,65541.0
NASDAQ:META,472.19,473.28,471.82,471.93,33270.0
NASDAQ:META,471.86,471.86,468.0,468.59,69740.0
NASDAQ:META,468.67,469.425,468.08,468.38,26011.0
NASDAQ:META,468.34,469.15,467.6,468.89,29115.0
NASDAQ:META,468.83,469.03,467.71,467.87,30404.0
NASDAQ:META,467.77,467.9,466.63,467.42,33258.0
NASDAQ:META,467.43,468.19,467.42,467.77,18803.0
NASDAQ:META,467.65,468.98,467.57,468.82,25170.0
NASDAQ:META,468.77,469.75,468.75,469.46,27792.0
NASDAQ:META,469.35,470.94,469.34,470.36,36760.0
NASDAQ:META,470.5,471.5,470.45,471.3,26232.0
NASDAQ:META,471.3,472.47,471.18,472.24,26833.0
NASDAQ:META,472.24,472.68,471.21,471.6,24251.0
NASDAQ:META,471.78,472.11,471.06,472.01,24554.0
NASDAQ:META,472.04,472.61,472.0,472.59,22608.0
NASDAQ:META,472.54,473.16,472.46,472.92,31646.0
NASDAQ:META,472.88,473.03,471.7,471.76,21232.0
NASDAQ:META,471.75,471.75,470.05,470.21,21754.0
NASDAQ:META,470.11,470.9,469.68,470.72,33925.0
NASDAQ:META,470.88,470.91,470.25,470.63,16523.0
NASDAQ:META,470.57,470.73,470.18,470.31,11621.0
NASDAQ:META,470.3,470.6,469.82,469.86,12134.0
NASDAQ:META,469.8,469.8,469.1,469.23,23992.0
NASDAQ:META,469.13,469.6,468.87,469.21,12878.0
NASDAQ:META,469.11,469.29,468.45,468.45,13399.0
NASDAQ:META,468.23,468.81,467.96,468.15,17401.0
NASDAQ:META,468.15,468.15,467.08,467.32,19445.0
NASDAQ:META,467.32,467.7,466.92,466.92,17161.0
NASDAQ:META,467.0,467.54,466.95,467.5,15993.0
NASDAQ:META,467.49,468.31,467.49,468.24,16478.0
NASDAQ:META,468.36,468.66,467.35,467.35,13067.0
NASDAQ:META,467.34,469.11,467.3,468.98,20243.0
NASDAQ:META,469.01,469.37,468.65,468.65,13615.0
NASDAQ:META,468.59,469.33,468.49,468.97,9944.0
NASDAQ:META,468.97,469.16,468.1,468.19,16427.0
NASDAQ:META,468.12,468.32,467.55,467.57,14054.0
NASDAQ:META,467.58,468.14,467.39,468.05,13007.0
NASDAQ:META,468.0,468.03,467.5,467.69,8920.0
NASDAQ:META,467.62,467.98,467.1,467.91,12909.0
NASDAQ:META,467.9,468.51,467.855,468.38,26311.0
NASDAQ:META,468.31,468.41,467.19,467.8,19487.0
NASDAQ:META,467.74,468.07,467.15,467.57,14792.0
NASDAQ:META,467.52,467.92,467.31,467.92,7756.0
NASDAQ:META,467.82,468.45,467.67,468.22,17891.0
NASDAQ:META,468.19,468.77,468.15,468.44,12457.0
NASDAQ:META,468.34,468.71,468.2,468.51,8372.0
NASDAQ:META,468.43,469.12,468.43,468.94,11774.0
NASDAQ:META,468.94,469.04,468.33,468.54,11370.0
NASDAQ:META,468.55,469.22,468.53,469.06,16864.0
NASDAQ:META,469.05,469.59,469.03,469.24,12812.0
NASDAQ:META,469.24,469.67,468.31,469.5,17742.0
NASDAQ:META,469.48,469.64,468.62,468.94,10405.0
NASDAQ:META,468.86,469.28,468.7,469.0,6302.0
NASDAQ:META,469.05,469.46,468.73,468.84,10847.0
NASDAQ:META,468.75,469.12,468.71,468.99,9584.0
NASDAQ:META,469.02,469.58,469.02,469.21,15366.0
NASDAQ:META,469.13,470.12,469.13,469.99,35832.0
NASDAQ:META,470.0,470.2,469.51,469.7,11505.0
NASDAQ:META,469.75,470.32,469.75,470.17,30930.0
NASDAQ:META,470.23,470.32,469.65,469.91,13961.0
NASDAQ:META,469.89,470.51,469.89,470.5,14394.0
NASDAQ:META,470.54,470.79,470.3,470.39,15942.0
NASDAQ:META,470.39,470.47,469.84,470.19,16370.0
NASDAQ:META,470.21,470.5,469.59,469.8,12391.0
NASDAQ:META,469.83,470.34,469.67,470.2,24548.0
NASDAQ:META,470.26,470.32,468.7,469.09,32633.0
NASDAQ:META,469.02,469.56,468.56,469.15,24293.0
NASDAQ:META,469.1,470.47,469.04,470.3,31848.0
NASDAQ:META,470.23,470.63,469.92,470.4,25864.0
NASDAQ:META,470.36,471.08,469.87,470.64,37296.0
NASDAQ:META,470.66,471.75,470.44,471.75,56087.0
NASDAQ:META,466.53,467.69,463.64,466.13,98964.0
NASDAQ:META,466.34,466.38,462.35,463.16,58452.0
NASDAQ:META,463.01,463.9,462.4,463.0,51110.0
NASDAQ:META,462.95,464.31,462.8,463.33,39954.0
NASDAQ:META,463.33,464.82,461.8,464.64,64167.0
NASDAQ:META,464.6,465.16,464.19,464.82,25245.0
NASDAQ:META,464.91,466.4,464.51,465.95,35212.0
NASDAQ:META,466.0,466.49,465.27,465.67,33449.0
NASDAQ:META,465.5,465.92,464.64,464.72,17853.0
NASDAQ:META,464.65,465.46,464.58,464.66,20699.0
NASDAQ:META,464.59,464.94,464.4,464.51,13770.0
NASDAQ:META,464.46,464.97,463.59,464.81,18015.0
NASDAQ:META,464.75,465.58,464.33,465.0,24489.0
NASDAQ:META,464.97,465.24,464.63,464.88,21377.0
NASDAQ:META,464.94,465.5,464.58,464.8,17133.0
NASDAQ:META,464.765,465.62,464.26,465.55,14464.0
NASDAQ:META,465.42,466.425,465.1,466.33,22744.0
NASDAQ:META,466.37,467.02,466.33,466.51,29828.0
NASDAQ:META,466.7,467.77,466.7,467.43,21669.0
NASDAQ:META,467.33,468.41,466.74,468.35,34322.0
NASDAQ:META,468.34,468.7,467.86,468.59,20914.0
NASDAQ:META,468.67,468.69,467.3,467.91,18472.0
NASDAQ:META,467.96,468.96,467.92,468.31,23359.0
NASDAQ:META,468.31,468.48,467.84,467.92,10330.0
NASDAQ:META,468.04,468.18,467.58,467.96,14775.0
NASDAQ:META,468.06,468.76,468.06,468.42,16421.0
NASDAQ:META,468.52,468.6,467.38,467.65,22078.0
NASDAQ:META,467.55,468.9,467.48,468.79,13128.0
NASDAQ:META,468.79,469.0,468.49,468.58,12779.0
NASDAQ:META,468.59,468.93,468.42,468.51,11636.0
NASDAQ:META,468.49,468.61,467.7,467.76,16195.0
NASDAQ:META,467.7,467.7,466.41,466.64,16944.0
NASDAQ:META,466.64,466.79,465.63,466.19,22597.0
NASDAQ:META,465.98,467.05,465.9,466.85,13484.0
NASDAQ:META,466.93,467.27,466.33,466.5,11847.0
NASDAQ:META,466.49,466.75,466.15,466.31,9221.0
NASDAQ:META,466.29,466.9,466.26,466.69,12056.0
NASDAQ:META,466.73,467.2,466.51,467.12,6949.0
NASDAQ:META,467.06,467.09,466.49,467.07,10949.0
NASDAQ:META,467.07,467.6,466.99,467.47,18496.0
NASDAQ:META,467.51,467.76,467.45,467.69,7691.0
NASDAQ:META,467.69,468.27,467.69,468.02,11889.0
NASDAQ:META,468.0,468.0,466.63,467.31,20707.0
NASDAQ:META,467.28,467.47,466.85,467.47,10718.0
NASDAQ:META,467.47,467.7,467.31,467.46,9698.0
NASDAQ:META,467.48,467.93,467.37,467.49,8753.0
NASDAQ:META,467.53,467.53,467.12,467.24,7167.0
NASDAQ:META,467.23,467.24,466.54,466.6,12602.0
NASDAQ:META,466.56,467.26,466.53,467.24,12476.0
NASDAQ:META,467.32,467.89,467.245,467.43,15037.0
NASDAQ:META,467.4,467.51,466.79,467.31,10485.0
NASDAQ:META,467.25,467.72,467.1,467.43,9206.0
NASDAQ:META,467.42,467.5,467.11,467.25,6246.0
NASDAQ:META,467.33,467.43,467.02,467.02,7310.0
NASDAQ:META,467.0,468.17,466.24,467.55,23513.0
NASDAQ:META,467.55,468.38,467.17,467.94,22534.0
NASDAQ:META,467.91,468.08,467.53,467.6,7595.0
NASDAQ:META,467.5,467.8,466.87,467.22,11886.0
NASDAQ:META,467.11,467.69,466.51,466.51,10874.0
NASDAQ:META,466.57,466.77,466.16,466.56,18065.0
NASDAQ:META,466.43,466.69,465.85,466.03,12546.0
NASDAQ:META,466.03,466.08,464.7,464.95,20323.0
NASDAQ:META,464.9,464.9,463.64,463.78,21982.0
NASDAQ:META,463.79,464.3,463.42,464.3,15290.0
NASDAQ:META,464.19,464.82,463.96,464.23,17846.0
NASDAQ:META,464.19,464.79,464.19,464.38,10916.0
NASDAQ:META,464.35,464.75,464.03,464.47,14314.0
