symbol,open,high,low,close,volume
BMFBOVESPA:PETR4,0.86344372,0.88539568,0.85812203,0.8807392,589788.69660038
BMFBOVESPA:PETR4,0.86078288,0.86078288,0.82619191,0.82818754,48286.79387372
BMFBOVESPA:PETR4,0.82619191,0.84348739,0.79625742,0.82353107,2800634.04467548
BMFBOVESPA:PETR4,0.81820938,0.84082655,0.81089206,0.81820938,3449.05670527
BMFBOVESPA:PETR4,0.83350923,0.84814387,0.82353107,0.82353107,2911003.85924397
BMFBOVESPA:PETR4,0.84082655,0.85080471,0.83816571,0.84082655,1210618.90354814
BMFBOVESPA:PETR4,0.85080471,0.85346556,0.81820938,0.82087022,1524483.06372729
BMFBOVESPA:PETR4,0.82353107,0.82818754,0.80357474,0.80357474,724301.90810573
BMFBOVESPA:PETR4,0.84348739,0.84348739,0.79359658,0.79625742,1234762.300485
BMFBOVESPA:PETR4,0.80357474,0.82818754,0.79359658,0.80889643,296618.87665282
BMFBOVESPA:PETR4,0.80889643,0.81089206,0.79359658,0.79891826,189698.1187896
BMFBOVESPA:PETR4,0.80357474,0.80889643,0.78627926,0.80357474,372498.12416866
BMFBOVESPA:PETR4,0.80357474,0.84082655,0.79625742,0.79625742,579441.52648458
BMFBOVESPA:PETR4,0.80623558,0.80623558,0.78627926,0.7889401,972633.99088483
BMFBOVESPA:PETR4,0.7889401,0.79891826,0.77164462,0.77896194,179350.9486738
BMFBOVESPA:PETR4,0.77896194,0.7889401,0.77364025,0.77364025,513909.44908454
BMFBOVESPA:PETR4,0.77364025,0.78627926,0.76632293,0.78095757,662218.88741095
BMFBOVESPA:PETR4,0.7889401,0.80357474,0.77364025,0.78095757,24143.39693686
BMFBOVESPA:PETR4,0.78627926,0.78627926,0.76898378,0.76898378,241433.96936858
BMFBOVESPA:PETR4,0.76632293,0.77630109,0.75900561,0.76366209,6422143.58520411
BMFBOVESPA:PETR4,0.76366209,0.78095757,0.76366209,0.77896194,1127841.54262177
BMFBOVESPA:PETR4,0.7889401,0.79625742,0.78095757,0.79359658,1179577.39320075
BMFBOVESPA:PETR4,0.79625742,0.82818754,0.79625742,0.82818754,686362.28434781
BMFBOVESPA:PETR4,0.82818754,0.84814387,0.82818754,0.83617007,3273154.81329683
BMFBOVESPA:PETR4,0.83617007,0.85080471,0.83084839,0.85080471,2524709.50825425
BMFBOVESPA:PETR4,0.85080471,0.87076104,0.85080471,0.86078288,5584022.80582463
BMFBOVESPA:PETR4,0.87076104,0.87076104,0.82818754,0.84348739,231086.79925278
BMFBOVESPA:PETR4,0.84082655,0.84348739,0.81089206,0.82353107,738098.13492679
BMFBOVESPA:PETR4,0.82818754,0.83617007,0.76166646,0.77896194,3107600.0914441
BMFBOVESPA:PETR4,0.78627926,0.79625742,0.77364025,0.77630109,624279.26365303
BMFBOVESPA:PETR4,0.78627926,0.80357474,0.78361841,0.8009139,79328.3042211
BMFBOVESPA:PETR4,0.80889643,0.86543935,0.80889643,0.85080471,255230.19618964
BMFBOVESPA:PETR4,0.84548303,0.86078288,0.83816571,0.84348739,3507690.66925487
BMFBOVESPA:PETR4,0.83350923,0.84082655,0.82353107,0.83084839,4570000.13447661
BMFBOVESPA:PETR4,0.83084839,0.85080471,0.81820938,0.83084839,124166.04138955
BMFBOVESPA:PETR4,0.85812203,0.85812203,0.82619191,0.82818754,4880415.23795049
BMFBOVESPA:PETR4,0.83350923,0.84814387,0.82818754,0.83350923,2183252.89443298
BMFBOVESPA:PETR4,0.84348739,0.85546119,0.82818754,0.85546119,51735.85057898
BMFBOVESPA:PETR4,0.85546119,0.88273484,0.85080471,0.87807836,341456.61382127
BMFBOVESPA:PETR4,0.87076104,0.87076104,0.85080471,0.85812203,789833.98550577
BMFBOVESPA:PETR4,0.8681002,0.8681002,0.85812203,0.86078288,2842022.72513866
BMFBOVESPA:PETR4,0.86078288,0.88539568,0.85812203,0.88539568,1538279.29054835
BMFBOVESPA:PETR4,0.88273484,0.89803469,0.85812203,0.85812203,500113.22226348
BMFBOVESPA:PETR4,0.86543935,0.90269116,0.86344372,0.90269116,10347.1701158
BMFBOVESPA:PETR4,0.89803469,0.92730396,0.8807392,0.92530833,610483.03683197
BMFBOVESPA:PETR4,0.93528649,0.96455577,0.93528649,0.95723845,3749124.63862345
BMFBOVESPA:PETR4,0.95457761,0.95723845,0.91799101,0.92996481,182800.00537906
BMFBOVESPA:PETR4,0.92530833,0.92530833,0.88805652,0.89537384,2517811.39484371
BMFBOVESPA:PETR4,0.90269116,0.90269116,0.86543935,0.87076104,1983207.60552758
BMFBOVESPA:PETR4,0.87076104,0.88805652,0.86078288,0.88805652,1369275.51199035
BMFBOVESPA:PETR4,0.89537384,0.89537384,0.8807392,0.88805652,658769.83070569
BMFBOVESPA:PETR4,0.88273484,0.88539568,0.87807836,0.87807836,589788.69660038
BMFBOVESPA:PETR4,0.87807836,0.88273484,0.85080471,0.85080471,286271.70653703
BMFBOVESPA:PETR4,0.85546119,0.87275667,0.85346556,0.8681002,2897207.6324229
BMFBOVESPA:PETR4,0.8807392,0.8807392,0.8681002,0.87076104,2945494.42629662
