symbol,open,high,low,close,volume
NYSE:SHEL,60.60001,62.14999,60.60001,62.03999,1216500.0
NYSE:SHEL,61.44,61.47,60.78999,61.39999,271700.0
NYSE:SHEL,60.8,61.2,60.78999,61.2,1483300.0
NYSE:SHEL,61.42,61.58,60.88,61.11,1159700.0
NYSE:SHEL,60.89,61.06,60.53999,60.99001,1683100.0
NYSE:SHEL,60.63,60.74001,60.16,60.67,1848900.0
NYSE:SHEL,59.64999,60.48,59.5,60.33,2005500.0
NYSE:SHEL,61.85001,61.97,61.25,61.28,873800.0
NYSE:SHEL,62.8,63.55,62.62,63.03,1657400.0
NYSE:SHEL,63.82001,63.83,63.34,63.52,1003800.0
NYSE:SHEL,64.07001,64.14999,63.46001,63.99001,1623100.0
NYSE:SHEL,63.5,63.85001,63.08,63.25,957700.0
NYSE:SHEL,63.53999,63.67999,63.22,63.32001,885100.0
NYSE:SHEL,63.99001,64.36,63.81,63.86,757800.0
NYSE:SHEL,65.42999,65.53999,65.12,65.28,1102800.0
NYSE:SHEL,66.81,66.96001,66.0,66.88,1513000.0
NYSE:SHEL,67.56,68.08,67.12,67.44,1510000.0
NYSE:SHEL,67.28999,67.42999,67.0,67.28,1172500.0
NYSE:SHEL,66.94,67.19,66.75999,66.81,858900.0
NYSE:SHEL,66.14999,66.23,65.77,65.85001,911100.0
NYSE:SHEL,65.37,65.60001,64.36,64.5,1693100.0
NYSE:SHEL,63.66,63.78,63.2,63.45,1748300.0
NYSE:SHEL,64.21001,64.47,64.03,64.47,972000.0
NYSE:SHEL,64.50999,64.67,63.91,64.14,1050500.0
NYSE:SHEL,63.95,64.06,63.69,64.0,579800.0
NYSE:SHEL,63.63,63.91,63.45,63.74001,888800.0
NYSE:SHEL,63.88,63.89,63.50999,63.75999,660500.0
NYSE:SHEL,63.86,63.89999,63.12,63.25,904900.0
NYSE:SHEL,63.44,63.5,62.89999,63.12,835900.0
NYSE:SHEL,62.89,63.69,62.86,63.48,775200.0
NYSE:SHEL,64.45,65.50999,64.28,64.96001,2274700.0
NYSE:SHEL,66.09,66.92,66.03999,66.75,1405300.0
NYSE:SHEL,66.53,66.67999,66.31,66.45,1070300.0
NYSE:SHEL,66.58,66.81,66.21001,66.53,1048100.0
NYSE:SHEL,65.11,65.64,64.91,65.14,1366600.0
NYSE:SHEL,64.64,64.99001,64.11,64.25,1225200.0
NYSE:SHEL,64.77,65.06,64.75999,64.86,937000.0
NYSE:SHEL,64.37,64.44,63.95,63.98,1277900.0
NYSE:SHEL,63.64,63.72,63.45,63.47,1166700.0
NYSE:SHEL,63.62,64.28999,63.62,64.28999,1793000.0
NYSE:SHEL,65.3,65.45,64.55,64.92999,1371700.0
NYSE:SHEL,65.64999,66.45,65.5,65.78,954300.0
NYSE:SHEL,66.0,66.5,65.98,66.28,676900.0
NYSE:SHEL,66.48,66.63,65.75999,65.75999,1212700.0
